No,Pairing Name,Category,Display Font,Body Font,Mood Keywords,Best For,Flutter Package,Pub Dev URL,pubspec Entry,Flutter TextTheme Usage,Notes
1,Material Refined,Sans + Sans,Nunito,Nunito Sans,"friendly, modern, rounded, approachable, warm","Consumer apps, social, wellness, food, general purpose",google_fonts,https://pub.dev/packages/google_fonts,"google_fonts: ^6.2.1","textTheme: GoogleFonts.nunitoTextTheme()","Rounded letterforms feel approachable and modern. Great Flutter default."
2,Elegant Pro,Serif + Sans,Playfair Display,Inter,"elegant, luxury, sophisticated, premium, editorial","Luxury brands, beauty, fashion, high-end e-commerce",google_fonts,https://pub.dev/packages/google_fonts,"google_fonts: ^6.2.1","displayLarge: GoogleFonts.playfairDisplay(fontSize: 57), bodyLarge: GoogleFonts.inter(fontSize: 16)","High contrast serif/sans for premium feel. Avoid small sizes for Playfair."
3,Tech Modern,Sans + Sans,Space Grotesk,DM Sans,"tech, startup, innovative, bold, futuristic","Developer tools, AI apps, SaaS, fintech, startups",google_fonts,https://pub.dev/packages/google_fonts,"google_fonts: ^6.2.1","displayLarge: GoogleFonts.spaceGrotesk(fontSize: 57), bodyLarge: GoogleFonts.dmSans(fontSize: 16)","Space Grotesk has unique geometric character. DM Sans extremely readable."
4,Clean Swiss,Sans only,Inter,Inter,"minimal, clean, swiss, functional, professional","Dashboards, admin panels, docs, enterprise, B2B",google_fonts,https://pub.dev/packages/google_fonts,"google_fonts: ^6.2.1","textTheme: GoogleFonts.interTextTheme()","Single family with weight variation. Maximum legibility and neutrality."
5,Playful Fun,Display + Rounded,Fredoka,Nunito,"playful, friendly, fun, childlike, warm","Kids apps, education, gaming, entertainment",google_fonts,https://pub.dev/packages/google_fonts,"google_fonts: ^6.2.1","displayLarge: GoogleFonts.fredoka(fontSize: 57), bodyLarge: GoogleFonts.nunito(fontSize: 16)","Rounded forms reduce cognitive load for children. High legibility."
6,Corporate Bold,Sans + Sans,Poppins,Open Sans,"modern, professional, corporate, friendly","SaaS, corporate, business apps, startups, agencies",google_fonts,https://pub.dev/packages/google_fonts,"google_fonts: ^6.2.1","displayLarge: GoogleFonts.poppins(fontSize: 57), bodyLarge: GoogleFonts.openSans(fontSize: 16)","Geometric Poppins for headings. Humanist Open Sans for long body text."
7,Editorial Classic,Serif + Serif,Cormorant Garamond,Libre Baskerville,"editorial, classic, literary, traditional, refined","Publishing, news, blogs, literary apps, culture",google_fonts,https://pub.dev/packages/google_fonts,"google_fonts: ^6.2.1","displayLarge: GoogleFonts.cormorantGaramond(fontSize: 57), bodyLarge: GoogleFonts.libreBaskerville(fontSize: 16)","All-serif creates cohesive traditional editorial feel. Use sufficient size."
8,Developer Dark,Mono + Sans,JetBrains Mono,IBM Plex Sans,"code, developer, technical, precise, hacker","Dev tools, code editors, tech blogs, CLI apps",google_fonts,https://pub.dev/packages/google_fonts,"google_fonts: ^6.2.1","displayLarge: GoogleFonts.jetBrainsMono(fontSize: 57), bodyLarge: GoogleFonts.ibmPlexSans(fontSize: 16)","JetBrains for code blocks. IBM Plex Sans for UI text. Strong tech identity."
9,Wellness Calm,Serif + Sans,Lora,Raleway,"calm, wellness, health, relaxing, natural, organic","Health apps, wellness, spa, meditation, yoga, organic",google_fonts,https://pub.dev/packages/google_fonts,"google_fonts: ^6.2.1","displayLarge: GoogleFonts.lora(fontSize: 57), bodyLarge: GoogleFonts.raleway(fontSize: 16)","Lora's organic curves with Raleway's elegant simplicity. Calm feel."
10,Bold Statement,Display + Sans,Bebas Neue,Source Sans 3,"bold, impactful, dramatic, marketing, headlines","Marketing, portfolios, agencies, fitness, sports",google_fonts,https://pub.dev/packages/google_fonts,"google_fonts: ^6.2.1","displayLarge: GoogleFonts.bebasNeue(fontSize: 57), bodyLarge: GoogleFonts.sourceSans3(fontSize: 16)","Bebas Neue for large display text only. All caps. Very impactful."
11,Retro Vintage,Display + Serif,Abril Fatface,Merriweather,"retro, vintage, nostalgic, dramatic, decorative","Vintage brands, restaurants, creative portfolios, food",google_fonts,https://pub.dev/packages/google_fonts,"google_fonts: ^6.2.1","displayLarge: GoogleFonts.abrilFatface(fontSize: 57), bodyLarge: GoogleFonts.merriweather(fontSize: 16)","Abril Fatface for hero text only. High-impact retro feel."
12,Finance Serious,Sans + Sans,Outfit,Roboto,"serious, finance, trust, accurate, data-driven","Fintech, banking, analytics, trading, crypto",google_fonts,https://pub.dev/packages/google_fonts,"google_fonts: ^6.2.1","displayLarge: GoogleFonts.outfit(fontSize: 57), bodyLarge: GoogleFonts.roboto(fontSize: 16)","Outfit is clean and modern. Roboto ensures optimal legibility for data."
13,Creative Agency,Display + Sans,Syne,Manrope,"creative, artistic, bold, avant-garde, design-forward","Creative agencies, portfolios, design tools, branding",google_fonts,https://pub.dev/packages/google_fonts,"google_fonts: ^6.2.1","displayLarge: GoogleFonts.syne(fontSize: 57), bodyLarge: GoogleFonts.manrope(fontSize: 16)","Syne is highly distinctive. Manrope readable and modern. Strong identity."
14,Soft Rounded,Sans + Sans,Quicksand,Mulish,"soft, gentle, approachable, clean, minimal","Lifestyle, consumer, simple utilities, wellness",google_fonts,https://pub.dev/packages/google_fonts,"google_fonts: ^6.2.1","displayLarge: GoogleFonts.quicksand(fontSize: 57), bodyLarge: GoogleFonts.mulish(fontSize: 16)","Both fonts have subtle rounding for a gentle, inviting feel."
15,Geometric Sharp,Sans + Sans,Rajdhani,Rubik,"sharp, geometric, modern, strong, architectural","Architecture, construction, logistics, utilities",google_fonts,https://pub.dev/packages/google_fonts,"google_fonts: ^6.2.1","displayLarge: GoogleFonts.rajdhani(fontSize: 57), bodyLarge: GoogleFonts.rubik(fontSize: 16)","Rajdhani is very distinctive. Rubik readable with subtle rounded corners."
