No,Category,Guideline,Do,Don't,Severity,Flutter Example
1,Widgets,Use StatelessWidget when possible,"Create StatelessWidget for UI that doesn't change over time","Make everything a StatefulWidget",High,"class MyCard extends StatelessWidget { @override Widget build(BuildContext context) => const Card(); }"
2,Widgets,Use const constructors,"Mark immutable widgets const for compile-time optimization","Leave out const for literal widgets",Critical,"const Text('Hello'), const Padding(padding: EdgeInsets.all(8))"
3,Widgets,Keep build() methods short,"Extract sub-widgets into separate Widget methods or classes when build() > 50 lines","Write 200+ line build methods",Critical,"Widget _buildHeader() => ...; Widget _buildBody() => ...;"
4,Widgets,Use SizedBox for spacing,"Use SizedBox(height: 16) or SizedBox(width: 8) between widgets","Use Container with just padding for spacing",Low,"const SizedBox(height: 16)"
5,State,Avoid setState in build(),"Call setState inside callbacks, event handlers, or initState","Invoke setState within build()",Critical,"onTap: () => setState(() => _isOpen = true)"
6,State,Use Riverpod for shared state,"Use Riverpod providers for state shared across multiple widgets","Pass state down many widget layers via constructor",High,"final counterProvider = StateProvider<int>((ref) => 0);"
7,State,Dispose AnimationControllers,"Always dispose AnimationController in dispose() method","Let AnimationControllers live beyond their widget lifetime",Critical,"@override void dispose() { _controller.dispose(); super.dispose(); }"
8,State,Check mounted after async,"Check if mounted before using setState or context after an await","Use BuildContext after async without mounted check",Critical,"if (mounted) setState(() => _data = result);"
9,Layout,Use LayoutBuilder for responsive design,"Switch layouts based on constraints.maxWidth","Use fixed pixel sizes for responsive UIs",High,"LayoutBuilder(builder: (ctx, constraints) { if (constraints.maxWidth > 600) return _tablet(); return _mobile(); })"
10,Layout,Use Flexible and Expanded correctly,"Use Expanded to fill remaining space, Flexible to take proportional space","Forget flex children inside Row/Column causing overflow",High,"Row(children: [Expanded(child: Text('Long text')), const Icon(Icons.check)])"
11,Layout,Avoid nesting Columns/Rows unnecessarily,"Use Wrap, Flow, or custom layout when nesting gets deep","Nest 4+ levels of Row/Column without extracting widgets",Medium,"Wrap(spacing: 8, children: chips)"
12,Layout,Use SafeArea for edge content,"Wrap main content with SafeArea to avoid status bar / notch overlap","Render content under system UI without SafeArea",High,"Scaffold(body: SafeArea(child: ...))"
13,Lists,Use ListView.builder for long lists,"Build list items lazily with ListView.builder","Use ListView(children: [...]) for long or dynamic lists",Critical,"ListView.builder(itemCount: items.length, itemBuilder: (ctx, i) => ItemCard(items[i]))"
14,Lists,Use GridView.builder for grids,"Build grid items lazily in GridView.builder","Use GridView.count() for large datasets",High,"GridView.builder(gridDelegate: SliverGridDelegateWithFixedCrossAxisCount(crossAxisCount: 2), ...)"
15,Lists,Prefer SliverList for complex scrolling,"Use CustomScrollView with SliverList when mixing scrollable elements","Use nested ListViews (causes layout issues)",High,"CustomScrollView(slivers: [SliverAppBar(...), SliverList(...)])"
16,Navigation,Use GoRouter for declarative routing,"Use GoRouter for type-safe named routes and deep linking","Rely solely on Navigator.push without named routes",High,"router.go('/profile/$userId')"
17,Navigation,Handle Android back gesture,"Use PopScope for Android predictive back gesture","Ignore back navigation handling",Medium,"PopScope(canPop: false, onPopInvokedWithResult: (didPop, _) { ... })"
18,Navigation,Pass minimal data between routes,"Pass minimal primitive data between routes; load details in destination","Pass entire model objects through Navigator arguments",Medium,"GoRouter path parameters or Uri query params only"
19,Theming,Never hardcode colors,"Always use Theme.of(context).colorScheme.primary","Use const Color(0xFFXXXXXX) directly in widgets",Critical,"color: Theme.of(context).colorScheme.primary"
20,Theming,Use MaterialApp darkTheme,"Always provide darkTheme in MaterialApp","Only provide theme without darkTheme",High,"MaterialApp(theme: lightTheme, darkTheme: darkTheme)"
21,Theming,Use Material 3,"Set useMaterial3: true in ThemeData","Use deprecated Material 2 component styles",High,"ThemeData(useMaterial3: true, colorScheme: ColorScheme.fromSeed(...))"
22,Theming,Define TextTheme tokens,"Use theme.textTheme.headlineLarge etc for all text styles","Hardcode fontSize/fontWeight/letterSpacing in widgets",High,"Text('Title', style: theme.textTheme.headlineLarge)"
23,Theming,Use ThemeExtension for custom tokens,"Define custom design tokens via ThemeExtension","Add random properties to ThemeData or pass colors as parameters",Medium,"class AppColors extends ThemeExtension<AppColors> { ... }"
24,Animation,Use AnimatedContainer for simple transitions,"Use AnimatedContainer for property changes over time","Use explicit AnimationController for simple property animations",Medium,"AnimatedContainer(duration: 300ms, color: isActive ? primary : surface)"
25,Animation,Use Hero for shared element transitions,"Wrap shared elements with Hero widget and same tag","Use custom PageRoute without Hero for shared element transitions",Medium,"Hero(tag: 'product-${item.id}', child: Image.network(...))"
26,Animation,Keep durations 150ms–400ms,"Use 200-300ms for most transitions, 400ms max for complex ones","Use 1000ms+ animations for routine UI transitions",High,"const Duration(milliseconds: 300)"
27,Animation,Use Curves.easeInOut by default,"Apply Curves.easeInOut for natural motion","Use Curves.linear for all animations (feels mechanical)",Medium,"CurvedAnimation(parent: _controller, curve: Curves.easeInOut)"
28,Animation,Use RepaintBoundary for heavy animations,"Wrap frequently-animating widgets in RepaintBoundary","Let animations trigger full-tree repaints",High,"RepaintBoundary(child: AnimatingWidget())"
29,Performance,Cache network images,"Use cached_network_image package for all network images","Use Image.network() without caching in production",Critical,"CachedNetworkImage(imageUrl: url, placeholder: (ctx, url) => Shimmer(...))"
30,Performance,Avoid expensive work in build(),"Move heavy computations (sorting, filtering) outside build() into state","Run expensive computations directly in build() method",Critical,"List<Item> get _sortedItems => ... (in getter or provider)"
31,Performance,Use lazy loading,"Load data only when needed; paginate long lists","Load all data upfront for potentially long datasets",High,"_page++ when user approaches end of list"
32,Performance,Minimize widget rebuilds,"Use Consumer/Selector for fine-grained Riverpod/Provider updates","Call ref.watch on large providers when only accessing a tiny part",High,"Consumer(builder: (ctx, ref, _) => Text('${ref.watch(counterProvider)}'))"
33,Accessibility,Add Semantics to images,"Use semanticsLabel on Image.network/asset or Semantics wrapper","Leave decorative images for screen readers without excludeFromSemantics",Critical,"Image.asset('logo.png', semanticsLabel: 'App logo')"
34,Accessibility,Label interactive elements,"Add tooltip or Semantics(label:) to icon buttons and custom tappables","Use bare GestureDetector without semantic label",Critical,"IconButton(icon: Icon(Icons.delete), tooltip: 'Delete item', onPressed: ...)"
35,Accessibility,Support dynamic text scaling,"Test with large font sizes; use MediaQuery.textScalerOf","Hardcode text heights that break with large system font sizes",High,"textScaler: MediaQuery.textScalerOf(context)"
36,Accessibility,Ensure 4.5:1 contrast ratio,"Test all text on backgrounds for WCAG AA contrast","Use grey on light grey or vice versa",High,"Use Contrast Checker: https://webaim.org/resources/contrastchecker/"
37,Accessibility,keyboard focus order,"Use FocusTraversalGroup for predictable Tab focus on web/desktop","Leave focus order to chance on web/desktop targets",Medium,"FocusTraversalGroup(policy: OrderedTraversalPolicy(), child: ...)"
38,Forms,Use TextFormField with validators,"Validate inputs in Form widget with GlobalKey<FormState>","Show errors only after failed API calls",High,"Form(key: _formKey, child: TextFormField(validator: (v) => v!.isEmpty ? 'Required' : null))"
39,Forms,Show inline validation errors,"Show errors immediately after field blur or on form submit","Show errors only in a SnackBar or dialog",High,"autovalidateMode: AutovalidateMode.onUserInteraction"
40,Forms,Handle keyboard overlays,"Use resizeToAvoidBottomInset: true in Scaffold","Let keyboard overlap input fields",High,"Scaffold(resizeToAvoidBottomInset: true)"
41,Forms,Mask sensitive inputs,"Use obscureText: true for password fields with show/hide toggle","Show passwords in plain text by default",Critical,"TextFormField(obscureText: _obscurePassword)"
42,Images,Use appropriate image formats,"Use WebP for photos, SVG via flutter_svg for icons, PNG for transparency","Use JPG for icons or PNG for large photos",Medium,"flutter_svg for vector icons"
43,Images,Add placeholder and error images,"Show placeholder while loading, fallback on error","Show blank space or crash on failed image load",High,"CachedNetworkImage(placeholder: (c,u) => Shimmer(), errorWidget: (c,u,e) => Icon(Icons.broken_image))"
44,Images,Use appropriate image resolution,"Supply 1x, 2x, 3x assets or use vector SVG","Use only 1x asset that blurs on Retina/high-DPI screens",Medium,"flutter: assets: [assets/icon.png, assets/2.0x/icon.png, assets/3.0x/icon.png]"
45,Async,Show loading states always,"Display shimmer or CircularProgressIndicator while loading","Show empty UI while data is loading",Critical,"AsyncValue.loading() => ShimmerList()"
46,Async,Handle all async states,"Handle data, loading, and error states in UI","Only handle the success case",Critical,"data: (d) => DataWidget(d), loading: () => Loader(), error: (e,s) => ErrorView(e)"
47,Async,Debounce search inputs,"Add 300-500ms debounce to search input","Call API on every keystroke",High,"_debounce = Timer(300ms, () => searchProvider.search(query))"
48,Async,Show error recovery action,"Always show a Retry button on error states","Show error message with no way to recover",High,"ElevatedButton(onPressed: () => ref.refresh(provider), child: Text('Retry'))"
49,Platform,Use adaptive widgets,"Use .adaptive constructors for platform-specific appearance","Force Material widgets on iOS or Cupertino on Android",High,"Switch.adaptive(...), CircularProgressIndicator.adaptive()"
50,Platform,Respect platform conventions,"Use bottom sheet on iOS, drawer on Android for navigation","Use the same navigation pattern regardless of platform",Medium,"Platform.isIOS ? CupertinoNavigationBar() : AppBar()"
