No,Animation Name,Category,Use Case,Duration (ms),Curve,Flutter Widget / API,Dart Code Snippet,Notes
1,Page Enter,Navigation,New page sliding in,300,easeInOut,PageTransitionsTheme / GoRouter,"CupertinoPageTransitionsBuilder() or custom SlideTransition","Standard page transition. 300ms feels snappy but smooth."
2,Fade In,Visibility,Content appearing after load,400,easeIn,AnimatedOpacity / FadeTransition,"AnimatedOpacity(opacity: _visible ? 1 : 0, duration: 400ms, child: ...)",Fade in content once data is loaded. Avoid abrupt appearance.
3,Slide Up Bottom Sheet,Navigation,Bottom sheet appearing,350,easeOut,showModalBottomSheet,"showModalBottomSheet(context: context, isScrollControlled: true, builder: ...)","Use 350ms for a natural bottom sheet feel."
4,Card Tap Scale,Micro-interaction,Card press feedback,100,easeIn → easeOut,GestureDetector + AnimatedScale,"AnimatedScale(scale: _pressed ? 0.96 : 1.0, duration: 100ms, child: Card(...))",Subtle scale-down cues tappability without distraction.
5,List Item Stagger,List animation,Items appearing one by one,50 per item,easeOut,AnimationController + SlideTransition,"interval(i * 0.1, 1.0) inside AnimationController",Stagger delay of 50ms per item. Cap at 10 items max.
6,FAB Morph,Button,FAB expanding to form/dialog,400,fastOutSlowIn,Hero + AnimationController,"Hero(tag: 'fab', child: FloatingActionButton(...)","Hero transition gives smooth FAB-to-widget morph."
7,Shimmer Loading,Loading state,Skeleton screen while loading,1200 loop,linear,shimmer package,"Shimmer.fromColors(baseColor: grey300, highlightColor: grey100, child: ...)","Use shimmer from pub.dev. Loop indefinitely until data arrives."
8,Tab Switch,Navigation,Switching between tabs,250,easeInOut,TabBarView + TabController,"TabBarView(controller: _tabController, children: [...])",Keep tab transitions fast. 250ms is the sweet spot.
9,Pull to Refresh,Gesture,Refreshing list content,–,spring,RefreshIndicator.adaptive,"RefreshIndicator.adaptive(onRefresh: _refresh, child: ListView.builder(...))",Use .adaptive for platform-specific indicator (iOS/Android).
10,Hero Shared Element,Navigation,Image flying between screens,300,fastOutSlowIn,Hero,"Hero(tag: 'product-${item.id}', child: Image.network(...))",Tag must be unique per item. Works automatically with Navigator.
11,Snackbar Slide,Feedback,Toast notification sliding in,300,easeOut,ScaffoldMessenger.showSnackBar,"ScaffoldMessenger.of(context).showSnackBar(SnackBar(content: Text(...)))",Use SnackBarBehavior.floating for minimal intrusion.
12,Dialog Scale,Overlay,Alert/confirm dialog appearing,200,easeOutBack,showDialog,"showDialog(builder: (c) => ScaleTransition(scale: animation, child: AlertDialog(...)))","easeOutBack gives a satisfying 'pop' feel."
13,Checkbox Bounce,Micro-interaction,Checkbox checked/unchecked,200,elasticOut,AnimatedContainer + Checkbox,"AnimatedContainer(duration: 200ms, curve: Curves.elasticOut, ...)",Playful elastic gives satisfaction feedback.
14,Progress Bar Fill,Data viz,Progress bar animating to value,600,easeInOut,LinearProgressIndicator / AnimatedContainer,"TweenAnimationBuilder(tween: Tween(begin:0.0, end: progress), duration: 600ms, ...)","Start at 0 and animate to final value on page load."
15,Skeleton to Content,Loading,Shimmer fading to real content,400,easeIn,FadeTransition,"AnimatedSwitcher(duration: 400ms, child: isLoading ? ShimmerWidget() : ContentWidget())","AnimatedSwitcher handles the cross-fade automatically."
16,Input Field Focus,Forms,TextField focus ring expanding,200,easeInOut,AnimatedContainer + FocusNode,"FocusNode + AnimatedContainer(border color/width transition)",Show clear visual focus for accessibility.
17,Bottom Nav Selection,Navigation,Nav item icon transition,300,easeInOut,NavigationBar / AnimatedIcons,"NavigationBar uses M3 built-in animation. For custom: AnimatedIcons.menu_arrow",Built-in M3 NavigationBar handles this automatically.
18,Image Parallax,Scroll,Image moving slower than scroll,–,–,CustomScrollView + SliverAppBar,"SliverAppBar(expandedHeight: 250, flexibleSpace: FlexibleSpaceBar(background: image))","flexibleSpace creates parallax automatically."
19,Notification Badge Bounce,Micro-interaction,Badge appearing on icon,300,elasticOut,AnimatedSwitcher + Badge,"AnimatedSwitcher(duration: 300ms, child: Badge(isLabelVisible: hasNew, child: Icon(...)))","Bounce on new notification arrival."
20,Dark/Light Theme Toggle,Theming,App switching themes,400,easeInOut,AnimatedTheme / ThemeMode,"AnimatedTheme(data: theme, child: ...) or MaterialApp(themeMode: themeMode)","AnimatedTheme cross-fades color tokens automatically."
